state,year,tree_cover_loss_ha,co2_emissions_Mg
Maharashtra,2016,885.1040762265901,429426.74936231767
Maharashtra,2017,803.9079713711799,386823.15437007294
Maharashtra,2018,805.63386112169,392749.7535776784
Maharashtra,2019,1026.9971691105452,496751.1478893508
Maharashtra,2020,676.1473433177218,324671.9308282251
Maharashtra,2021,484.8013191797001,246822.0344394069
Maharashtra,2022,737.395451368188,355038.9392865673
Maharashtra,2023,1497.4160912837324,775249.1513231491
Maharashtra,2024,1333.603398535092,664026.14868879
Maharashtra,2025,919.8341400607848,484874.4722417521
Tamil Nadu,2001,2152.0486477834543,1308287.2260410949
Tamil Nadu,2002,1177.0851483120623,492840.8138078136
Tamil Nadu,2003,586.5690450619796,275243.8755017112
Tamil Nadu,2004,1267.5839492774594,691573.5555159735
Tamil Nadu,2005,986.3989606045145,494437.56640545645
Tamil Nadu,2006,1675.0037910745318,911568.2764226577
Tamil Nadu,2007,1769.0516643861251,928102.07497952
Tamil Nadu,2008,1349.6418047447637,686274.6993339107
Tamil Nadu,2009,466.83964180629664,226359.0891048292
Tamil Nadu,2010,102.59162069533576,45315.3081589234
Tamil Nadu,2011,1298.3095941094668,671902.6152115441
Tamil Nadu,2012,1695.2576307322267,837193.1910252736
Tamil Nadu,2013,642.7244944389287,351006.8549755368
Tamil Nadu,2014,1022.7815916823068,541555.1690290878
Tamil Nadu,2015,1022.1905111602008,562120.5950342547
Tamil Nadu,2016,1340.8736793946573,766123.7279232369
Tamil Nadu,2017,1581.9737924834208,894591.5978149875
Tamil Nadu,2018,2026.5498937102047,1126718.261089813
Tamil Nadu,2019,2063.931644558315,1178917.3286264532
Tamil Nadu,2020,1291.3584474893787,756099.7632442194
Tamil Nadu,2021,1255.8751499181558,964338.3852702269
Tamil Nadu,2022,1100.458041229586,749551.229608422
Tamil Nadu,2023,2187.3115721777526,1428715.6959693874
Tamil Nadu,2024,3014.5132297654845,1740076.1832071044
Tamil Nadu,2025,2413.125627966149,1520468.8173877683
